,name,name_rus,texts_number,texts_percent
375,Vilis Lācis,Вилис Лацис,8,0.0030429821224800305
376,Vizma Belševica,Визма Белшевица,2,0.0007607455306200076
377,W. J. Henningan,nan,1,0.0003803727653100038
378,Wacław Radziwinowicz,Вацлав Радзивинович,1,0.0003803727653100038
379,Wade Shepard,nan,1,0.0003803727653100038
380,Walter M. Miller,Уолтер Миллер,1,0.0003803727653100038
381,Walter Russel Mead,nan,1,0.0003803727653100038
382,Walter Scott,Вальтер Скотт,1,0.0003803727653100038
383,Wesley Morgan,nan,1,0.0003803727653100038
384,Will Hurd,nan,1,0.0003803727653100038
385,William Golding,Уильям Голдинг,1,0.0003803727653100038
386,William S. SMITH,nan,1,0.0003803727653100038
387,Willis Krumholz,nan,1,0.0003803727653100038
388,Willy Kyrklund,Вилли Чурклюнд,1,0.0003803727653100038
389,Winston Groom,Уинстон Грум,1,0.0003803727653100038
390,Władysław Reymont,Владислав Реймонт,1,0.0003803727653100038
391,ZACH DORFMAN,nan,1,0.0003803727653100038
392,Zach Dorfman,nan,1,0.0003803727653100038
393,Zack Wasserman,nan,1,0.0003803727653100038
394,Zenta Ērgle,Зента Эргле,3,0.0011411182959300114
395,Zigmunds Skujiņš,Зигмунд Скуинь,4,0.0015214910612400153
396,Zofia Kossak,Зофья Коссак,1,0.0003803727653100038
397,berlin.de,berlin.de,1,0.0003803727653100038
398,nrw.de,nan,1,0.0003803727653100038
399,ufc-capital.com,ufc-capital.com,1,0.0003803727653100038
400,www.ifspb.com,www.ifspb.com,1,0.0003803727653100038
401,Є. Лавренюк,А. Волков,1,0.0003803727653100038
402,Євгенія Кононенко,Евгения Кононенко,1,0.0003803727653100038
403,Іван Дзюба,Иван Дзюба,1,0.0003803727653100038
404,Іван Карпенко-Карий,Иван Карпенко-Карый,2,0.0007607455306200076
405,Іван Керницький,Иван Керницкий,1,0.0003803727653100038
406,Іван Котляревський,Иван Котляревский,1,0.0003803727653100038
407,Іван Котлярівський,Иван Котляревский,1,0.0003803727653100038
408,Іван Мележ,Иван Мележ,1,0.0003803727653100038
409,Іван Нечуй-Левицький,Иван Нечуй-Левицкий,8,0.0030429821224800305
410,Іван Франко,Иван Франко,7,0.0026626093571700264
411,Іван Чыгрынаў,Иван Чигринов,5,0.001901863826550019
412,Іван Шамякін,Иван Шамякин,5,0.001901863826550019
413,Ігор Анцишкін,Игорь Анцышкин,2,0.0007607455306200076
414,Ігор Бондар-Терещенко,Игорь Бондарь-Терещенко,1,0.0003803727653100038
415,Ігор Лосєв,Игорь Лосев,13,0.00494484594903005
416,Ірина Солодченко,Ирина Солодченко,1,0.0003803727653100038
417,А. А. Фадеев,А. А. Фадеев,1,0.0003803727653100038
418,А. Бутэвіч,А. Бутевич,1,0.0003803727653100038
419,А. В. Кузнецов,А. В. Кузнецов,1,0.0003803727653100038
420,А. В. Литвиненко,А. В. Литвиненко,1,0.0003803727653100038
421,А. И. Куприн,А. И. Куприн,15,0.005705591479650057
422,А. И. Приставкин,А. И. Приставкин,1,0.0003803727653100038
423,А. И. Солженицын,А. И. Солженицын,5,0.001901863826550019
424,А. Н. Варламов,А. Н. Варламов,1,0.0003803727653100038
425,А. Н. Островский,А. Н. Островский,2,0.0007607455306200076
426,А. Н. Рыбаков,А. Н. Рыбаков,2,0.0007607455306200076
427,А. Н. Стругацкий,А. Н. Стругацкий,10,0.003803727653100038
428,А. Н. Толстой,А. Н. Толстой,3,0.0011411182959300114
429,А. П. Чехов,А. П. Чехов,106,0.040319513122860404
430,А. Р. Беляев,А. Р. Беляев,4,0.0015214910612400153
431,А. С. Пушкин,А. С. Пушкин,19,0.0072270825408900724
432,А. Т. Аверченко,А. Т. Аверченко,9,0.003423354887790034
433,"АКБ ""Русславбанк""","АКБ ""Русславбанк""",1,0.0003803727653100038
434,Александр Грин,Александр Грин,1,0.0003803727653100038
435,Александр Минеев,Александр Минеев,1,0.0003803727653100038
436,Алексей Балабанов,Алексей Балабанов,1,0.0003803727653100038
437,Алена Василевич,Алена Василевич,1,0.0003803727653100038
438,Алесь Адамовіч,Алесь Адамович,3,0.0011411182959300114
439,Алесь Пашкевіч,Алесь Пашкевич,1,0.0003803727653100038
440,Аляксей Кулакоўскі,Алексей Кулаковский,1,0.0003803727653100038
441,Анатолій Свидницький,Анатолий Свидницкий,1,0.0003803727653100038
442,Анатолій Стась,Анатолий Стась,1,0.0003803727653100038
443,Ангелина Давыдова,Ангелина Давыдова,1,0.0003803727653100038
444,Андрей Дмитрук,Андрей Дмитрук,1,0.0003803727653100038
445,Андрей Курейчик,Андрей Курейчик,2,0.0007607455306200076
446,Андрей Курков,Андрей Курков,1,0.0003803727653100038
447,Андрей Платонов,Андрей Платонов,2,0.0007607455306200076
448,Андрей Чемышев,Андрей Чемышев,1,0.0003803727653100038
449,Андрій Калин,Андрей Калин,36,0.013693419551160137
450,Андрій Окара,Андрей Окара,1,0.0003803727653100038
451,Анна Политковская,Анна Политковская,1,0.0003803727653100038
452,Антон Санченко,Антон Санченко,1,0.0003803727653100038
453,Аркадий Гайдар,Аркадий Гайдар,1,0.0003803727653100038
454,Артем Куреев,Артем Куреев,1,0.0003803727653100038
455,Архип Тесленко,Архип Тесленко,22,0.008368200836820083
456,Б. В. Заходер,Б. В. Заходер,2,0.0007607455306200076
457,Б. В. Зубков,Б. В. Зубков,1,0.0003803727653100038
458,Б. Изаков [перевод с английского повести Э. Хемингуэя,Б. Изаков [перевод с английского повести Э. Хемингуэя,1,0.0003803727653100038
459,Б. Н. Полевой,Б. Н. Полевой,2,0.0007607455306200076
460,Б. Н. Стругацкий,Б. Н. Стругацкий,10,0.003803727653100038
461,БЕЛАПАН,БЕЛАПАН,30,0.011411182959300114
462,Балдан Санжин,Балдан Санжин,1,0.0003803727653100038
463,Барадий Мунгонов,Барадий Мунгонов,1,0.0003803727653100038
464,Бидия Дандарон,Бидия Дандарон,1,0.0003803727653100038
465,Борис Акунин,Борис Акунин,2,0.0007607455306200076
466,Борис Антоненко-Давидович,Борис Антоненко-Давидович,1,0.0003803727653100038
467,Борис Грінченко,Борис Гринченко,3,0.0011411182959300114
468,Борис Оречкин,Борис Оречкин,1,0.0003803727653100038
469,Борис Пастернак,Борис Пастернак,1,0.0003803727653100038
470,В. А. Обручев,В. А. Обручев,1,0.0003803727653100038
471,В. А. Осеева,В. А. Осеева,18,0.006846709775580068
472,В. А. Ревич,В. А. Ревич,1,0.0003803727653100038
473,В. В. Ерофеев,В. В. Ерофеев,1,0.0003803727653100038
474,В. Г. Короленко,В. Г. Короленко,5,0.001901863826550019
475,В. Г. Сорокин,В. Г. Сорокин,4,0.0015214910612400153
476,В. Е. Бахнов,В. Е. Бахнов,1,0.0003803727653100038
477,В. И. Вернадский,В. И. Вернадский,1,0.0003803727653100038
478,В. И. Савченко,В. И. Савченко,1,0.0003803727653100038
479,В. М. Гаршин,В. М. Гаршин,9,0.003423354887790034
480,В. П. Аксенов,В. П. Аксенов,1,0.0003803727653100038
481,В. С. Гроссман,В. С. Гроссман,8,0.0030429821224800305
482,В. С. Пикуль,В. С. Пикуль,1,0.0003803727653100038
483,В. Т. Бабенко,В. Т. Бабенко,1,0.0003803727653100038
484,В. Я. Брюсов,В. Я. Брюсов,3,0.0011411182959300114
485,Валянцін Зуб,Валентин Зуб,1,0.0003803727653100038
486,Варлам Шаламов,Варлам Шаламов,2,0.0007607455306200076
487,Василий Высоков,Василий Высоков,1,0.0003803727653100038
488,Василь Бережний,Василий Бережной,2,0.0007607455306200076
489,Василь Стефаник,Василий Стефаник,53,0.020159756561430202
490,Василь Стус,Василь Стус,1,0.0003803727653100038
491,Василь Сухомлинський,Василий Сухомлинский,34,0.012932674020540129
492,Васіль Быкаў,Василь Быков,23,0.008748573602130088
493,Вера Смирнова,Вера Смирнова,1,0.0003803727653100038
494,Википедия,Википедия,7,0.0026626093571700264
495,Виктор Ерофеев,Виктор Ерофеев,1,0.0003803727653100038
496,Виктор Пелевин,Виктор Пелевин,1,0.0003803727653100038
497,Виктор Суворов,Виктор Суворов,1,0.0003803727653100038
498,Вл. Гаков,Вл. Гаков,3,0.0011411182959300114
499,Владимир Зазубрин,Владимир Зазубрин,1,0.0003803727653100038
500,Владимир Набоков,Владимир Набоков,98,0.03727653100038037
501,Владимир Рувинский,Владимир Рувинский,1,0.0003803727653100038
502,Владимир Соловьев,Владимир Соловьев,1,0.0003803727653100038
503,Владимир Терлецкий,Владимир Терлецкий,2,0.0007607455306200076
504,Владислав Мещеряков,Владислав Мещеряков,1,0.0003803727653100038
505,Володимир Бамбула,Владимир Бамбула,2,0.0007607455306200076
506,Володимир Винниченко,Владимир Винниченко,1,0.0003803727653100038
507,Володимир Владко,Владимир Владко,1,0.0003803727653100038
508,Володимир Малик,Владимир Малик,2,0.0007607455306200076
509,Володимир Самійленко,Владимир Самийленко,2,0.0007607455306200076
510,Вольдемар Бааль,Вольдемар Бааль,1,0.0003803727653100038
511,Всеволод Гаршин,Всеволод Гаршин,1,0.0003803727653100038
512,Всеволод Нестайко,Всеволод Нестайко,1,0.0003803727653100038
513,Вінцэнт Дунін-Марцінкевіч,Винцент Дунин-Марцинкевич,1,0.0003803727653100038
514,Вітаўт Чаропка,Витовт Чаропко,3,0.0011411182959300114
515,Г. Н. Троепольский,Г. Н. Троепольский,1,0.0003803727653100038
516,Г. С. Гор,Г. С. Гор,1,0.0003803727653100038
517,Гавриил Троепольский,Гавриил Троепольский,1,0.0003803727653100038
518,Гайто Газданов,Гайто Газданов,2,0.0007607455306200076
519,Галина Тарасюк,Галина Тарасюк,3,0.0011411182959300114
520,Генрых Далідовіч,Генрих Далидович,4,0.0015214910612400153
521,Григорий Квитка-Основьяненко,Григорий Квитка-Основьяненко,1,0.0003803727653100038
522,Григорий Остер,Григорий Остер,1,0.0003803727653100038
523,Григорий Сковорода,Григорий Сковорода,29,0.01103081019399011
524,Григорій Квітка-Основ'яненко,Григорий Квитка-Основьяненко,3,0.0011411182959300114
525,Д. Н. Мамин-Сибиряк,Д. Н. Мамин-Сибиряк,1,0.0003803727653100038
526,Д. Н. Медведев,Д. Н. Медведев,1,0.0003803727653100038
527,Денис Дмитриев,Денис Дмитриев,1,0.0003803727653100038
528,Е. Голышева,Е. Голышева,1,0.0003803727653100038
529,Е. Зыкова,Е. Зыкова,1,0.0003803727653100038
530,Е. И. Замятин,Е. И. Замятин,3,0.0011411182959300114
531,Е. Л. Озерецкая,Е. Л. Озерецкая,1,0.0003803727653100038
532,Е. Лукин,Е. Лукин,1,0.0003803727653100038
533,Е. П. Петров,Е. П. Петров,5,0.001901863826550019
534,Е. С. Муслин,Е. С. Муслин,1,0.0003803727653100038
535,Елена Милашина,Елена Милашина,1,0.0003803727653100038
536,Емма Андрієвська,Эмма Андриевская,1,0.0003803727653100038
537,Зура Итсмиолорд,Зура Итсмиолорд,1,0.0003803727653100038
538,И. А. Бунин,Иван Бунин,6,0.002282236591860023
539,И. А. Ефремов,И. А. Ефремов,1,0.0003803727653100038
540,И. А. Ильф,И. А. Ильф,5,0.001901863826550019
541,И. Грекова,И. Грекова,1,0.0003803727653100038
542,И. И. Акимушкин,И. И. Акимушкин,1,0.0003803727653100038
543,И. И. Варшавский,И. И. Варшавский,1,0.0003803727653100038
544,И. С. Тургенев,И. С. Тургенев,16,0.006085964244960061
545,И. Э. Бабель,И. Э. Бабель,73,0.027767211867630277
546,Иван Бунин,Иван Бунин,1,0.0003803727653100038
547,Иван Гончаров,Иван Гончаров,4,0.0015214910612400153
548,Игорь Наумов,Игорь Наумов,1,0.0003803727653100038
549,Из сборника А. Н. Афанасьева «Народные русские сказки»,Из сборника А. Н. Афанасьева «Народные русские сказки»,2,0.0007607455306200076
550,К. Г. Паустовский,К. Г. Паустовский,1,0.0003803727653100038
551,К. Д. Ушинский,К. Д. Ушинский,1,0.0003803727653100038
552,К. И. Чуковский,К. И. Чуковский,1,0.0003803727653100038
553,К. М. Станюкович,К. М. Станюкович,7,0.0026626093571700264
554,К. Петрус,К. Петрус,1,0.0003803727653100038
555,Канстанцін Каліноўскі,Константин Калиновский,9,0.003423354887790034
556,Карлас Шэрман,Карлос Шерман,1,0.0003803727653100038
557,Кир Булычев,Кир Булычев,8,0.0030429821224800305
558,Кирило Толпиго,Кирилл Толпиго,1,0.0003803727653100038
559,"Компания ""КазМунайГаз""","Компания ""КазМунайГаз""",1,0.0003803727653100038
560,Константин Тарасов,Константин Тарасов,3,0.0011411182959300114
561,Кузьма Чорны,Кузьма Чорный,6,0.002282236591860023
562,Л. А. Обухова,Л. А. Обухова,1,0.0003803727653100038
563,Л. В. Соловьёв,Л. В. Соловьёв,2,0.0007607455306200076
564,Л. Лукина,Л. Лукина,1,0.0003803727653100038
565,Л. Н. Андреев,Л. Н. Андреев,3,0.0011411182959300114
566,Л. Н. Толстой,Л. Н. Толстой,35,0.013313046785850133
567,Л. П. Берия,Л. П. Берия,1,0.0003803727653100038
568,Л. Пантелеев,Л. Пантелеев,1,0.0003803727653100038
569,Л. С. Петрушевская,Л. С. Петрушевская,1,0.0003803727653100038
570,Л. Ф. Артюх,Л. Ф. Артюх,1,0.0003803727653100038
571,Леанід Дайнека,Леонид Дайнеко,4,0.0015214910612400153
572,Лесь Мартович,Лесь Мартович,18,0.006846709775580068
573,Леся Українка,Леся Украинка,86,0.032712057816660325
574,Лидия Чуковская,Лидия Чуковская,1,0.0003803727653100038
575,Людмила Улицкая,Людмила Улицкая,2,0.0007607455306200076
576,Лідзія Арабей,Лидия Арабей,1,0.0003803727653100038
577,Ліна Костенко,Лина Костенко,1,0.0003803727653100038
578,М. А. Шолохов,М. А. Шолохов,2,0.0007607455306200076
579,М. Белахова,М. Белахова,1,0.0003803727653100038
580,М. Горький,М. Горький,4,0.0015214910612400153
581,М. Д. Яснов,М. Д. Яснов,1,0.0003803727653100038
582,М. Е. Кольцов,М. Е. Кольцов,9,0.003423354887790034
583,М. Е. Салтыков-Щедрин,М. Е. Салтыков-Щедрин,1,0.0003803727653100038
584,М. Л. Степнова,М. Л. Степнова,1,0.0003803727653100038
585,М. М. Зощенко,М. М. Зощенко,14,0.005325218714340053
586,М. М. Пришвин,М. М. Пришвин,75,0.028527957398250287
587,М. П. Шишкин,М. П. Шишкин,1,0.0003803727653100038
588,М. Ю. Лермонтов,М. Ю. Лермонтов,4,0.0015214910612400153
589,М. Я. Гольштейн,М. Я. Гольштейн,1,0.0003803727653100038
590,Майя Фролова,Майя Фролова,1,0.0003803727653100038
591,Максим Горький,Максим Горький,15,0.005705591479650057
592,Максім Гарэцкі,Максим Горецкий,4,0.0015214910612400153
593,Мария Глушенкова,Мария Глушенкова,1,0.0003803727653100038
594,Марко Вовчок,Марко Вовчок,15,0.005705591479650057
595,Марко Кропивницький,Марк Кропивницкий,6,0.002282236591860023
596,Марко Черемшина,Марко Черемшина,15,0.005705591479650057
597,Микола Куліш,Николай Кулиш,3,0.0011411182959300114
598,Микола Руденко,Николай Руденко,1,0.0003803727653100038
599,Микола Трублаїні,Николай Трублаини,2,0.0007607455306200076
600,Микола Хвильовий,Микола Хвылевый,25,0.009509319132750094
601,Министерство образования России,Министерство образования России,1,0.0003803727653100038
602,Михайло Коцюбинський,Михаил Коцюбинский,21,0.00798782807151008
603,Михайло Ларін,Михаил Ларин,1,0.0003803727653100038
604,Михайло Старицький,Михаил Старицкий,3,0.0011411182959300114
605,Михаил Бахтин,Михаил Бахтин,2,0.0007607455306200076
606,Михаил Булгаков,Михаил Булгаков,21,0.00798782807151008
607,Михаил Кузмин,Михаил Кузмин,1,0.0003803727653100038
608,Михаил Ткачев,Михаил Ткачев,1,0.0003803727653100038
609,Московский государственный университет,Московский государственный университет,1,0.0003803727653100038
610,Мостай Кәрим,Мустай Карим,1,0.0003803727653100038
611,Мікола Гамолка,Николай Гомолко,2,0.0007607455306200076
612,Міхась Лынькоў,Михась Лыньков,3,0.0011411182959300114
613,Міхась Стральцоў,Михась Стрельцов,5,0.001901863826550019
614,Н. А. Бердяев,Н. А. Бердяев,1,0.0003803727653100038
615,Н. А. Островский,Н. А. Островский,12,0.004564473183720046
616,Н. В. Науменко,Н. В. Науменко,7,0.0026626093571700264
617,Н. И. Костомаров,Н. И. Костомаров,1,0.0003803727653100038
618,Н. И. Шагайда,Н. И. Шагайда,1,0.0003803727653100038
619,Н. Метелева,Н. Метелева,1,0.0003803727653100038
620,Н. Н. Носов,Н. Н. Носов,14,0.005325218714340053
621,Н. С. Лесков,Н. С. Лесков,2,0.0007607455306200076
622,Надзея Нікалаева,Надежда Николаева,1,0.0003803727653100038
623,Намсарайн Хуса,Хоца Намсараев,2,0.0007607455306200076
624,Народна казка,Народная сказка,89,0.03385317611259034
625,Народная сказка,Народная сказка,2,0.0007607455306200076
626,Наталя Забіла,Наталья Забила,1,0.0003803727653100038
627,Наталія Гамоля,Елена Мокроусова,1,0.0003803727653100038
628,Начальник УНКВД по Днепропетровской области полковник Госбезопасности Седов,Начальник УНКВД по Днепропетровской области полковник Госбезопасности Седов,1,0.0003803727653100038
629,Николай Гоголь,Николай Гоголь,6,0.002282236591860023
630,Николай Гумилёв,Николай Гумилёв,1,0.0003803727653100038
631,Николай Гоголь,Николай Гоголь,39,0.014834537847090148
632,О. Волков,Е. Лавренюк,1,0.0003803727653100038
633,О. Е. Бабошина,О. Е. Бабошина,2,0.0007607455306200076
634,О. М. Сомов,О. М. Сомов,1,0.0003803727653100038
635,О. П. Стороженко,А. П. Стороженко,1,0.0003803727653100038
636,О. Э. Мандельштам,О. Э. Мандельштам,2,0.0007607455306200076
637,Оксана Іваненко,Оксана Иваненко,1,0.0003803727653100038
638,Оксана Забужко,Оксана Забужко,2,0.0007607455306200076
639,Олег Романчук,Олег Романчук,1,0.0003803727653100038
640,Олександр Довженко,Александр Довженко,8,0.0030429821224800305
641,Олександр Конисський,Александр Конисский,1,0.0003803727653100038
642,Олександр Тесленко,Александр Тесленко,2,0.0007607455306200076
643,Олена Мокроусова,Наталия Гамоля,1,0.0003803727653100038
644,Олена Щербань,Елена Щербань,2,0.0007607455306200076
645,Олесь Бердник,Александр Бердник,1,0.0003803727653100038
646,Олесь Гончар,Олесь Гончар,2,0.0007607455306200076
647,Олесь Досвітний,Олесь Досвитный,2,0.0007607455306200076
648,Ольга Кобилянська,Ольга Кобылянская,13,0.00494484594903005
649,Орест-Дмитро Вільчинський,Орест-Дмитрий Вильчинский,1,0.0003803727653100038
650,Осип Маковей,Осип Маковей,1,0.0003803727653100038
651,Остап Вишня,Остап Вишня,23,0.008748573602130088
652,П. П. Бажов,П. П. Бажов,7,0.0026626093571700264
653,Павел Місько,Павел Мисько,1,0.0003803727653100038
654,Павло Грабовський,Павел Грабовский,14,0.005325218714340053
655,Павло Загребельний,Павел Загребельный,1,0.0003803727653100038
656,Панас Мирний,Панас Мирный,9,0.003423354887790034
657,Пантелеймон Кулиш,Пантелеймон Кулиш,1,0.0003803727653100038
658,Р. Н. Редлих,Р. Н. Редлих,1,0.0003803727653100038
659,Р. П. Погодин,Р. П. Погодин,6,0.002282236591860023
660,Ризаитдин Фәхретдинов,Ризаитдин Фахретдинов,1,0.0003803727653100038
661,Роман Іваничук,Роман Иванычук,1,0.0003803727653100038
662,Рувим Фраерман,Рувим Фраерман,1,0.0003803727653100038
663,Руслан Хестанов,Руслан Хестанов,1,0.0003803727653100038
664,С. Г. Козлов,С. Г. Козлов,2,0.0007607455306200076
665,С. Т. Аксаков,С. Т. Аксаков,1,0.0003803727653100038
666,С. Я. Маршак,С. Я. Маршак,1,0.0003803727653100038
667,Саша Соколов,Саша Соколов,1,0.0003803727653100038
668,Светлана Алексиевич,Светлана Алексиевич,5,0.001901863826550019
669,Сергей Булгаков,Сергей Булгаков,1,0.0003803727653100038
670,Сергей Довлатов,Сергей Довлатов,5,0.001901863826550019
671,Сергей Михалков,Сергей Михалков,1,0.0003803727653100038
672,Сергей Тимофеев,Сергей Тимофеев,1,0.0003803727653100038
673,Сергей Довлатов,Сергей Довлатов,1,0.0003803727653100038
674,Сергей Михалков,Сергей Михалков,1,0.0003803727653100038
675,Сергій Жадан,Сергей Жадан,1,0.0003803727653100038
676,Степан Васильченко,Степан Васильченко,6,0.002282236591860023
677,Сусанна Альперина,Сусанна Альперина,1,0.0003803727653100038
678,Т. Г. Мальована,Т. Г. Малеваная,1,0.0003803727653100038
679,Т. Н. Толстая,Т. Н. Толстая,1,0.0003803727653100038
680,Тарас Прохасько,Тарас Прохасько,2,0.0007607455306200076
681,Тарас Шевченко,Тарас Шевченко,119,0.045264359071890456
682,Татьяна Полякова,Татьяна Полякова,1,0.0003803727653100038
683,Тетяна Малярчук,Татьяна Малярчук,1,0.0003803727653100038
684,Уладзімір Арлоў,Владимир Орлов,1,0.0003803727653100038
685,Уладзімір Калеснік,Владимир Колесник,2,0.0007607455306200076
686,Уладзімір Караткевіч,Владимир Короткевич,8,0.0030429821224800305
687,Уладзімір Някляеў,Владимир Некляев,1,0.0003803727653100038
688,Уладзімір Шыцік,Владимир Шитик,2,0.0007607455306200076
689,Уладімір Караткевіч,Владимир Короткевич,2,0.0007607455306200076
690,Ф. А. Искандер,Ф. А. Искандер,9,0.003423354887790034
691,Ф. М. Достоевский,Ф. М. Достоевский,22,0.008368200836820083
692,Федор Сологуб,Федор Сологуб,4,0.0015214910612400153
693,Феликс Квадригин,Феликс Квадригин,1,0.0003803727653100038
694,Фотопроект «Россия. Территория настоящего»,Фотопроект «Россия. Территория настоящего»,1,0.0003803727653100038
695,Ц. Лерман,Ц. Лерман,1,0.0003803727653100038
696,Цыденжаб Дон,Цыденжаб Дон,1,0.0003803727653100038
697,Цырен Шагжин,Цырен Шагжин,1,0.0003803727653100038
698,Чингиз Айтматов,Чингиз Айтматов,3,0.0011411182959300114
699,Чукотская сказка,Чукотская сказка,2,0.0007607455306200076
700,Ю. Н. Тынянов,Ю. Н. Тынянов,1,0.0003803727653100038
701,Ю. Никитин,Ю. Никитин,8,0.0030429821224800305
702,Юлія Андрэева,Юлия Андреева,1,0.0003803727653100038
703,Юрий Дружников,Юрий Дружников,1,0.0003803727653100038
704,Юрій Іздрик,Юрий Издрык,5,0.001901863826550019
705,Юрій Андрухович,Юрий Андрухович,5,0.001901863826550019
706,Юрій Винничук,Юрий Винничук,1,0.0003803727653100038
707,Юрій Лоцманенко,Юрий Лоцманенко,1,0.0003803727653100038
708,Юрій Мушкетик,Юрий Мушкетик,1,0.0003803727653100038
709,Юрій Смолич,Юрий Смолич,1,0.0003803727653100038
710,Юрій Яновський,Юрий Яновский,1,0.0003803727653100038
711,Якуб Колас,Якуб Колас,5,0.001901863826550019
712,Янка Брыль,Янка Брыль,5,0.001901863826550019
713,Янка Купала,Янка Купала,2,0.0007607455306200076
714,Янка Маўр,Янка Мавр,6,0.002282236591860023
715,Ակսել Բակունց / Aksel Bakunc‘,Аксель Бакунц,1,0.0003803727653100038
716,Դերենիկ Դեմիրճյան / Derenik Demirčyan,Дереник Демирчян,1,0.0003803727653100038
717,Խաչատուր Աբովյան / Xač‘atur Abovyan,Хачатур Абовян,1,0.0003803727653100038
718,Րաֆֆի / Raffi,Раффи,1,0.0003803727653100038
719,鲁迅 / Lu Xun,Лу Синь,3,0.0011411182959300114
